Sex	GPA	Religious_Importance	Monthly_Parties	Drinking_Days	Smoke_Cigarettes	SATM	SATV	Height	Weight
Male	2.67	Very Important	1	0	No	700	700	67	190
Female	2.98	Fairly Important	2	0	No	700	500	54	110
Female	2.67	Fairly Important	3	2	No	470	470	65	225
Female	3.6	Not Important	8	8	Yes	710	560	52	135
Female	3.76	Fairly Important	6	6	No	600	520	72	128
Male	3.86	Not Important	5	7	No	610	720	70	188
Male	3.94	Fairly Important	4	8	No	710	670	70	155
Male	2.8	Very Important	10	12	Yes	610	580	68	160
Male	3.48	Very Important	3	4	No	690	620	72	160
Female	3.8	Fairly Important	4	5	No	580	540	52	117
Female	3.67	Fairly Important	0	0	Yes	690	690	64	120
Female	2	Fairly Important	4	8	No	450	580	65	120
Female	4	Fairly Important	8	8	No	700	700	67	125
Female	3.55	Very Important	0	0	No	400	600	62	129
Male	3.3	Not Important	12	12	Yes	640	600	70	165
Male	3.38	Very Important	3	3	No	720	580	68	165
Female	3.5	Very Important	5	3	No	600	750	68	125
Male	3.7	Fairly Important	1	7	No	600	720	65	180
Female	3.2	Fairly Important	8	12	No	600	630	68	160
Male	2.86	Not Important	0	0	Yes	600	300	65	135
Male	3	Not Important	15	21	Yes	670	630	73	168
Female	3.88	Very Important	9	9	No	670	680	65	130
Male	3.51	Fairly Important	5	3	No	600	730	72	170
Female	3	Fairly Important	12	14	Yes	560	680	63	110
Female	2.8	Fairly Important	5	4	No	560	560	63	155
Male	3.36	Fairly Important	10	15	No	550	600	68	155
Male	4	Very Important	4	1	No	610	600	73	160
Male	3.5	Fairly Important	10	12	No	680	680	69	155
Female	3.36	Very Important	2	2	No	450	450	54	120
Female	3.75	Fairly Important	14	20	No	640	620	70	132
Male	2.1	Very Important	8	30	Yes	300	400	62	200
Female	3.3	Fairly Important	15	15	No	650	600	64	155
Male	3.53	Not Important	1	2	No	670	630	70	170
Female	3.61	Not Important	10	15	Yes	500	550	65	155
Male	3.42	Fairly Important	12	25	No	530	760	72	175
Female	3.3	Fairly Important	8	8	No	500	400	63	130
Female	3.3	Not Important	3	4	Yes	680	650	67	123
Female	3.02	Fairly Important	2	2	No	560	560	64	125
Male	3.16	Fairly Important	5	8	No	620	760	75	215
Male	3.66	Not Important	13	18	No	640	640	68	185
Female	2.89	Fairly Important	6	6	No	590	640	63	130
Female	3.7	Fairly Important	10	10	No	570	560	61	210
Male	3.2	Not Important	2	0	Yes	680	710	68	145
Female	3.42	Not Important	8	10	Yes	660	580	65	120
Male	3.02	Very Important	12	5	No	700	570	74	165
Male	3.51	Not Important	8	8	No	650	590	74	182
Male	2.41	Fairly Important	5	6	No	620	640	70	175
Male	2.8	Fairly Important	3	1	No	450	450	68	170
Female	2.65	Fairly Important	8	6	No	650	550	65	135
Female	3.7	Fairly Important	5	8	No	600	620	69	150
Male	3.08	Very Important	1	0	No	420	490	75	184
Male	2.2	Not Important	13	14	Yes	630	580	73	230
Female	3.76	Fairly Important	12	15	No	760	600	68	120
Male	2.8	Fairly Important	3	3	No	600	500	69	165
Female	3.3	Very Important	4	1	No	600	600	53	150
Female	3.55	Fairly Important	12	13	No	585	590	67	143
Male	3.72	Fairly Important	6	6	No	800	750	72	175
